left_ir,right_ir,pos,left_motor,right_motor
424,24
416,230,g,24,24
415,224
424,196,g,24,24
424,194,g,24,24
424,196,g,24,24
423,198,g,24,24
421,200,g,24,24
417,212,g,24,24
416,230,g,24,24
415,2
413,241,g,24,24
413,245,g,24,24
413,246,g,24,24
415,253,g,24,24
416,256,g,24,24
415,256,g,24,24
415,251,g,24,24
413,246,g,24,24
413,247,g,24,24
415,251,g,24,24
415,250,g,24,24
415,253,g,24,24
416,255,g,24,24
416,255,g,24,24
416,259,g,24,24
415,258,g,24,24
416,263,g,24,24
418,268,g,24,24
418,269,g,24,24
420,273,g,24,24
421,280,g,24,24
422,287,g,24,24
423,292,g,24,24
422,288,g,24,24
424,293,g,24,24
426,291,g,24,24
426,286,g,24,24
426,290,g,24,24
426,288,g,24,24
426,286,g,24,24
427,285,g,24,24
426,280,g,24,24
426,275,g,24,24
425,270,g,24,24
425,271,g,24,24
426,272,g,24,24
425,268,g,24,24
424,264,g,24,24
425,263,g,24,24
422,252,g,24,24
420,246,g,24,24
421,242,g,24,24
420,239,g,24,24
420,230,g,24,24
417,219,g,24,24
416,209,g,24,24
416,207,g,24,24
418,211,g,24,24
419,211,g,24,24
419,209,g,24,24
417,203,g,24,24
419,213,g,24,24
423,225,g,24,24
423,229,g,24,24
425,234,g,24,24
428,248,g,24,24
430,254,g,24,24
429,242,g,24,24
431,238,g,24,24
432,244,g,24,24
432,250,g,24,24
431,249,g,24,24
431,252,g,24,24
430,253,g,24,24
426,250,g,24,24
419,269,g,24,24
411,262,g,24,24
402,277,g,24,24
395,269,g,24,24
387,306,g,24,24
384,285,g,24,24
388,301,g,24,24
385,279,g,24,24
389,268,g,24,24
379,269,g,24,24
397,277,g,24,24
392,250,g,24,24
391,256,g,24,24
341,247,g,24,24
316,260,g,24,24
308,246,g,24,24
337,268,g,24,24
373,313,g,24,24
378,334,g,24,24
392,292,g,24,24
409,199,g,24,24
462,219,g,24,24
460,253,g,24,24
411,286,g,24,24
382,286,g,24,24
388,307,g,24,24
386,275,g,24,24
401,275,g,24,24
406,291,g,24,24
410,292,g,24,24
402,267,g,24,24
374,240,g,24,24
387,242,g,24,24
382,202,g,24,24
399,224,g,24,24
441,261,g,24,24
458,298,g,24,24
443,319,g,24,24
421,310,g,24,24
399,315,g,24,24
380,340,g,24,24
376,332,g,24,24
383,327,g,24,24
399,327,g,24,24
373,328,g,24,24
332,307,g,24,24
312,331,g,24,24
322,336,g,24,24
341,351,g,24,24
391,326,g,24,24
432,381,g,24,24
425,348,g,24,24
411,313,g,24,24
395,294,g,24,24
381,317,g,24,24
388,369,g,24,24
377,366,g,24,24
384,368,g,24,24
374,323,g,24,24
394,308,g,24,24
345,324,g,24,24
337,325,g,24,24
384,317,g,24,24
446,305,g,24,24
463,332,g,24,24
484,358,g,24,24
470,397,g,24,24
438,380,g,24,24
397,400,g,24,24
405,485,l,24,-24
420,567,l,24,-24
415,615,l,24,-24
420,562,l,24,-24
413,501,l,24,-24
404,430,l,24,-24
384,288,g,24,24
377,286,g,24,24
379,274,g,24,24
384,294,g,24,24
391,311,g,24,24
378,303,g,24,24
354,317,g,24,24
347,308,g,24,24
357,311,g,24,24
377,291,g,24,24
396,301,g,24,24
389,316,g,24,24
360,364,g,24,24
354,398,g,24,24
362,462,l,24,-24
342,506,l,24,-24
332,566,l,24,-24
319,513,l,24,-24
301,411,l,24,-24
326,306,g,24,24
356,271,g,24,24
364,317,g,24,24
368,260,g,24,24
364,254,g,24,24
354,264,g,24,24
334,278,g,24,24
323,250,g,24,24
330,304,g,24,24
338,284,g,24,24
347,279,g,24,24
354,318,g,24,24
362,340,g,24,24
361,272,g,24,24
381,241,g,24,24
391,336,g,24,24
378,294,g,24,24
368,294,g,24,24
380,298,g,24,24
391,295,g,24,24
396,299,g,24,24
390,319,g,24,24
406,323,g,24,24
425,321,g,24,24
438,320,g,24,24
442,298,g,24,24
433,353,g,24,24
414,344,g,24,24
405,316,g,24,24
405,314,g,24,24
415,371,g,24,24
421,352,g,24,24
437,336,g,24,24
482,320,g,24,24
445,359,g,24,24
427,366,g,24,24
430,320,g,24,24
420,318,g,24,24
411,340,g,24,24
351,320,g,24,24
339,351,g,24,24
357,338,g,24,24
372,276,g,24,24
418,285,g,24,24
430,246,g,24,24
